circ_id	SRR1297303	SRR1297304	SRR1297305	SRR1297306	SRR1297307	SRR1297308	SRR1297309	SRR1297310	SRR1297311	SRR1297312	SRR1297313	SRR1297314	SRR1297315	SRR1297316	SRR1297317
10:15575488-15592304	3	2	4	3	1	1	2	1	1	3	2	0	0	3	0
10:15586583-15597299	0	1	3	0	0	0	1	0	1	0	0	1	2	2	0
10:15796099-15847943	0	0	0	3	0	0	0	0	0	1	0	0	0	0	1
10:15816834-15847943	3	1	5	7	6	6	4	3	4	8	7	6	6	7	6
10:15821655-15843272	0	0	0	0	0	0	0	1	3	3	2	0	1	2	1
10:15821655-15847943	0	1	0	1	1	0	1	0	3	0	1	0	0	2	1
10:15833629-15843272	0	0	0	1	0	0	0	1	1	0	0	1	2	2	0
10:15833629-15847943	3	4	2	6	0	1	1	2	5	3	3	3	2	3	2
10:16484336-16486617	2	0	1	1	0	0	0	1	2	0	0	0	0	0	1
10:17157440-17161548	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
10:17359513-17390620	0	0	1	0	0	2	0	0	0	0	0	0	0	0	3
10:17603559-17604047	0	1	0	2	0	0	0	0	2	2	1	0	1	0	0
10:17704430-17705741	1	2	1	5	0	0	1	3	7	6	3	2	5	3	3
10:17901972-17907698	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0
10:179993-221356	1	2	1	1	0	1	2	0	2	0	1	0	0	2	1
10:179993-249088	1	0	1	0	0	1	0	0	3	1	0	0	0	0	0
10:18585948-18616293	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0
10:20001774-20245505	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
10:20176998-20219102	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0
10:20177008-20177409	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
10:20211668-20219102	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
10:20245344-20279984	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:20279702-20284286	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0
10:20840738-20840849	0	2	0	2	0	1	3	0	0	0	1	0	0	0	4
10:20868663-20899450	0	0	0	1	0	0	2	0	0	0	0	0	1	0	1
10:20880793-20899450	0	2	1	2	0	0	3	0	1	0	1	1	0	0	0
10:20945337-20961779	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0
10:20957730-20961779	2	1	5	4	2	1	0	0	1	2	0	0	1	1	1
10:21681331-21682257	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0
10:21713771-21727928	2	1	1	1	0	0	0	2	1	1	1	1	0	0	0
10:21882281-21920963	0	0	2	3	0	0	0	0	0	1	3	0	3	0	2
10:22539970-22550772	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
10:22591628-22609717	0	0	1	0	0	0	0	2	0	0	0	0	1	1	0
10:22607926-22609717	1	1	0	2	0	0	0	1	1	1	0	1	1	1	2
10:24129540-24130767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
10:24219625-24219909	4	1	4	6	0	0	5	0	0	0	0	0	1	1	3
10:24219625-24222455	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0
10:24219625-24246437	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1
10:24527935-24536893	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0
10:24619472-24635103	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
10:24629995-24635103	1	1	0	0	0	0	0	2	0	2	0	0	1	1	0
10:24851387-24942436	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
10:26500818-26503274	1	0	0	3	0	0	0	1	0	0	0	0	0	0	0
10:26511746-26513660	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0
10:26560104-26562429	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0
10:26759061-26770345	0	0	0	2	0	0	1	0	1	1	1	0	0	0	0
10:26934412-26935627	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
10:27012881-27017792	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
10:27022557-27048979	0	0	2	3	0	1	0	0	3	0	0	0	1	0	0
10:27037185-27048979	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1
10:27039964-27043567	1	0	0	1	0	0	0	0	1	2	0	0	0	0	1
10:27060344-27061242	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0
10:27063987-27079161	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0
10:27131858-27136385	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0
10:27142386-27145590	1	3	0	1	0	1	0	1	2	0	0	0	0	1	0
10:27165063-27165539	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0
10:27165539-27167069	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
10:27169943-27173259	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
10:27169943-27181581	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0
10:27219722-27231820	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
10:27223206-27223452	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
10:27532506-27533994	0	0	0	1	1	0	0	0	0	1	2	0	2	0	1
10:27907662-27944962	3	0	0	0	0	0	1	0	0	0	3	4	0	0	0
10:27935009-27936880	0	0	0	1	0	0	1	0	0	1	3	2	0	0	0
10:27935009-27944962	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0
10:28119650-28131691	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0
10:28147482-28150059	1	0	0	0	0	0	0	0	3	0	1	0	0	0	0
10:28583398-28596041	2	2	0	1	0	1	0	4	2	4	0	0	0	0	0
10:29512734-29531288	0	0	1	0	0	0	2	0	1	0	0	0	2	1	0
10:30026102-30029866	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0
10:3118781-3120044	1	0	0	1	0	0	0	0	1	2	1	0	5	1	1
10:31355143-31387266	2	3	1	0	0	0	0	0	0	0	0	0	0	0	1
10:31355143-31387798	0	1	0	2	0	0	1	0	1	1	1	0	0	2	0
10:31355143-31461237	0	0	0	2	1	1	0	0	0	0	0	0	2	0	0
10:31373017-31387266	10	2	1	2	2	1	2	3	0	1	2	0	2	1	2
10:31373017-31387798	2	0	0	1	3	2	0	2	0	0	0	0	1	0	0
10:31373017-31461237	2	3	1	5	2	1	7	1	2	2	0	2	2	1	3
10:31373017-31502509	0	0	0	0	1	2	0	2	0	1	0	2	1	0	0
10:31387123-31461237	0	0	2	0	0	0	2	0	0	0	0	1	0	0	0
10:3158913-3160330	0	0	1	0	1	1	2	2	0	0	0	0	0	0	0
10:31820386-31831800	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0
10:31908171-31910563	11	8	6	22	3	6	7	8	11	14	7	1	9	4	8
10:32017142-32019959	0	1	0	0	0	0	0	3	0	0	0	0	1	0	2
10:32019857-32021287	1	0	1	2	0	1	0	0	3	0	0	0	2	0	1
10:32021021-32021287	0	0	0	0	1	0	0	1	1	1	0	0	2	1	1
10:32028427-32040457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
10:32451591-32462703	0	2	0	0	0	0	0	0	0	0	2	0	0	1	0
10:32451591-32463049	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0
10:32451591-32474023	7	0	1	2	1	0	2	7	5	7	2	1	4	4	6
10:32451591-32481782	0	0	0	0	0	1	1	3	1	0	1	1	0	0	0
10:32462682-32472542	0	0	1	0	0	0	0	0	0	0	0	0	2	2	0
10:32462682-32474023	2	0	0	0	0	0	0	0	0	2	0	0	1	1	0
10:32469384-32474023	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0
10:32471063-32474023	0	0	0	2	1	0	0	0	0	0	0	4	1	0	1
10:32517944-32729457	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0
10:32543299-32584304	3	3	9	12	1	1	8	5	9	8	6	6	13	2	4
10:32543299-32623817	0	1	1	0	0	0	2	1	5	2	1	0	1	3	0
10:32543299-32635158	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0
10:32558985-32584304	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0
10:32565557-32584304	2	4	9	7	1	1	6	5	11	11	3	1	13	2	4
10:32565557-32635158	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0
10:32565557-32686080	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0
10:32685969-32729457	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0
10:32805014-32824604	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0
10:33254027-33270856	0	0	2	3	0	0	0	0	2	0	0	0	0	0	0
10:34253503-34284245	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
10:34269656-34284245	0	8	4	7	5	3	2	0	5	9	3	2	7	3	4
10:34359146-34384254	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
10:34372497-34384254	0	1	0	0	0	2	2	0	0	1	0	0	0	0	2
10:35028809-35044868	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
10:35032434-35044868	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0
10:35038919-35071339	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
10:35060873-35071339	0	0	0	1	0	0	2	2	3	0	0	1	0	0	0
10:35516522-35530243	0	0	0	3	0	0	1	1	1	0	3	0	0	0	2
10:37803832-37838111	1	1	0	2	0	0	0	3	0	0	0	0	3	0	0
10:43154896-43158931	3	2	3	4	0	0	2	3	1	1	1	0	4	0	2
10:43154896-43176032	3	0	5	0	0	1	0	1	4	0	2	1	0	1	0
10:45059386-45092468	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0
10:45457784-45464327	1	0	0	0	0	1	0	0	0	1	0	0	2	0	0
10:45639815-45663842	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0
10:45662579-45663842	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0
10:45728861-45740246	2	1	0	1	0	0	0	0	2	3	1	0	3	0	0
10:45737982-45740246	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
10:45888164-45900426	0	0	1	0	0	1	2	0	3	0	1	2	0	0	0
